sl	movie_name	imdb_id	file_name	file_format	how_parsed	parse_status	file_location	attributes	CSM id
885	Usual Suspects, The	tt0114814	the_usual_suspects.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	9e1c0d67-7945-4e51-ad66-509652797d1b
886	X Files, The	tt0120902	the_xfiles_movie.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	8959a746-e6ac-4b3e-a437-cc8364d13f28
887	Thelma & Louise	tt0103074	thelma_and_louise.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/thelma-and-louise
888	There's Something About Mary	tt0129387	theres_something_about_mary.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/theres-something-about-mary
889	Thief	tt0083190	thief.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
890	Thing, The	tt0084787	thing_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	438144eb-cec5-4325-9b96-0c412faa588b
891	Things My Father Never Taught Me, The	tt2234521	things_my_father_never_taught_me_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
892	This Is 40	tt1758830	this_is_40.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	8bb736fd-b0c4-4847-aa16-b4e20788bc6e
893	Thor	tt0800369	thor.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	b7344008-e8e2-438d-b50d-569cb56d7f1f
894	Three Kings	tt0120188	three_kings_spoils_of_war.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	f0a5a899-0f04-4405-81b9-94f7c5709ca1
895	3 Men and a Baby	tt0094137	three_men_and_a_baby.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	050df867-fcb8-4768-a62e-93f920d6118c
896	Three Musketeers, The	tt0040876	three_musketeers_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/the-three-musketeers
897	Thunderheart	tt0105585	thunderheart.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
898	THX 1138	tt0066434	thx_1138.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	b1b1143d-8a0f-4dd9-9a40-8351fd432e76
899	Ticker	tt0196158	ticker.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
900	Timber Falls	tt0857295	timber_falls.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
901	Time Machine, The	tt0054387	time_machine_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
902	Tin Cup	tt0117918	tin_cup.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
903	Tin Men	tt0094155	tin_men.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
904	TMNT	tt0453556	tmnt.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/tmnt
905	To Sleep with Anger	tt0100791	to_sleep_with_anger.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
906	Tombstone	tt0108358	tombstone.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	b9cb2c8a-2023-4a35-83fb-08a4ba71a366
907	Tomorrow Never Dies	tt0120347	tomorrow_never_dies.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	c8202fd7-6d7b-4b08-9870-1f2cbc5a9fcc
908	Total Recall	tt0100802	total_recall.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	ff78d177-9146-42da-aff5-5e62f34cc975
909	Tourist, The	tt1243957	tourist_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	88437e51-f53f-41b8-8b75-7de6c37394fb
910	Toy Story	tt0114709	toy_story.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	10ebe689-efcd-49ce-91b6-b50681b9240f
911	Traffic	tt0181865	traffic.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	d74a253a-9654-4aba-add0-68e0e3f9fc8e
912	Transformers	tt0092106	transformers_the_movie.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	4b80ca72-cf3b-49ac-80eb-7dbc25d5c4f2
913	Tristan + Isolde	tt0375154	tristan_and_isolde.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/tristan-isolde
914	TRON	tt0084827	tron.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	508335eb-8710-4ac9-a693-7f875b7ef05c
915	Tron	tt1104001	tron_legacy.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	e9923b4a-efef-47d6-ae02-875dcb5d58d9
916	Tropic Thunder	tt0942385	tropic_thunder.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	1492d6da-f3d5-4e6c-bedf-819227a01d63
917	True Believer	tt0098524	true_believer.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
918	True Grit	tt1403865	true_grit.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	b61bb201-7939-42ad-8cf3-669b04630aa0
919	True Lies	tt0111503	true_lies.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	1037caa9-49d5-4979-b0f4-f516ec72d91a
920	True Romance	tt0108399	true_romance.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
921	Truman Show, The	tt0120382	truman_show_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	290546f4-eacc-4ffa-a41c-d56d040d97fa
922	Twelve Monkeys	tt0114746	twelve_monkeys.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	941e9623-273f-4220-8f99-29bc93973dea
